# Package list from WSL host system (Ubuntu)
# Generated: 2026年 08月 28日 星期五 23:16:27 CST
# Total packages: 1105

Package                                  Version              Architecture
libgoogle-perftools4t64:amd64            2.18.1-1             amd64
libgpg-error-l10n                        1.58-2               all
libgpg-error0:amd64                      1.58-2               amd64
libgpm2:amd64                            1.20.7-12build1      amd64
libgprofng0:amd64                        2.46-3ubuntu2        amd64
libgraphite2-3:amd64                     1.3.14-11ubuntu1.1   amd64
libgs-common                             10.06.0~dfsg-3ubuntu1 all
libgs10:amd64                            10.06.0~dfsg-3ubuntu1 amd64
libgs10-common                           10.06.0~dfsg-3ubuntu1 all
libgssapi-krb5-2:amd64                   1.22.1-2ubuntu4.1    amd64
libgstreamer-plugins-base1.0-0:amd64     1.28.2-1             amd64
libgstreamer1.0-0:amd64                  1.28.2-1             amd64
libgtk-3-0t64:amd64                      3.24.52-0ubuntu1     amd64
libgtk-3-bin                             3.24.52-0ubuntu1     amd64
libgtk-3-common                          3.24.52-0ubuntu1     all
libgudev-1.0-0:amd64                     1:238-7build1        amd64
libharfbuzz0b:amd64                      12.3.2-2             amd64
libheif-plugin-aomdec:amd64              1.21.2-3ubuntu0.4    amd64
libheif-plugin-aomenc:amd64              1.21.2-3ubuntu0.4    amd64
libheif1:amd64                           1.21.2-3ubuntu0.4    amd64
libhogweed6t64:amd64                     3.10.2-1             amd64
libhtml-form-perl                        6.13-1build1         all
libhtml-format-perl                      2.16-2               all
libhtml-parser-perl:amd64                3.83-1ubuntu0.1      amd64
libhtml-tagset-perl                      3.24-1               all
libhtml-template-perl                    2.97-2build1         all
libhtml-tree-perl                        5.07-3               all
libhttp-cookies-perl                     6.11-1               all
libhttp-daemon-perl                      6.16-1ubuntu0.26.04.1 all
libhttp-date-perl                        6.06-1ubuntu0.26.04.1 all
libhttp-message-perl                     7.01-1ubuntu1        all
libhttp-negotiate-perl                   6.01-2               all
libhwasan0:amd64                         16-20260322-1ubuntu1 amd64
libhwy1t64:amd64                         1.3.0-2              amd64
libibus-1.0-5:amd64                      1.5.34~rc2-1         amd64
libibverbs1:amd64                        61.0-2ubuntu3        amd64
libice6:amd64                            2:1.1.1-1build1      amd64
libicu78:amd64                           78.2-2ubuntu1        amd64
libid3tag0:amd64                         0.16.3-4             amd64
libidn12:amd64                           1.43-2ubuntu0.26.04.1 amd64
libidn2-0:amd64                          2.3.8-4build1        amd64
libiec61883-0:amd64                      1.2.0-8              amd64
libijs-0.35:amd64                        0.35-16              amd64
libimath-3-1-29t64:amd64                 3.1.12-1ubuntu5      amd64
libimlib2t64:amd64                       1.12.6-1             amd64
libinput-bin                             1.31.1-1ubuntu1.1    amd64
libinput10:amd64                         1.31.1-1ubuntu1.1    amd64
libio-html-perl                          1.004-3              all
libio-socket-ssl-perl                    2.098-1              all
libio-stringy-perl                       2.113-2              all
libip4tc2:amd64                          1.8.11-2ubuntu3      amd64
libip6tc2:amd64                          1.8.11-2ubuntu3      amd64
libipc-system-simple-perl                1.30-2               all
libiscsi7:amd64                          1.20.0-4build1       amd64
libisl23:amd64                           0.27-1build1         amd64
libisoburn1t64:amd64                     1:1.5.6-1.1ubuntu4   amd64
libisofs6t64:amd64                       1.5.6.pl01-1.1ubuntu3 amd64
libitm1:amd64                            16-20260322-1ubuntu1 amd64
libjack-jackd2-0:amd64                   1.9.22~dfsg-5build1  amd64
libjansson4:amd64                        2.14-2build4         amd64
libjbig0:amd64                           2.1-6.1ubuntu3       amd64
libjbig2dec0:amd64                       0.20-1ubuntu0.26.04.1 amd64
libjemalloc2:amd64                       5.3.0-4              amd64
libjpeg-turbo8:amd64                     2.1.5-4ubuntu4       amd64
libjpeg8:amd64                           8c-2ubuntu12         amd64
libjs-bootstrap5                         5.3.8+dfsg-2         all
libjs-jquery                             3.7.1+dfsg+~3.5.33-1build1 all
libjs-lunr                               2.3.9~dfsg-2         all
libjs-sphinxdoc                          8.2.3-12             all
libjson-c5:amd64                         0.18+ds-3            amd64
libjxl0.11:amd64                         0.11.1-6ubuntu4.2    amd64
libjxr-tools                             1.2~git20170615.f752187-5.3build1 amd64
libjxr0t64:amd64                         1.2~git20170615.f752187-5.3build1 amd64
libk5crypto3:amd64                       1.22.1-2ubuntu4.1    amd64
libkeyutils1:amd64                       1.6.3-6ubuntu3       amd64
libkmod2:amd64                           34.2-2ubuntu2        amd64
libkrb5-3:amd64                          1.22.1-2ubuntu4.1    amd64
libkrb5support0:amd64                    1.22.1-2ubuntu4.1    amd64
libksba8:amd64                           1.6.7-2build1        amd64
liblapack3:amd64                         3.12.1-7ubuntu1      amd64
liblcms2-2:amd64                         2.17-1ubuntu0.2      amd64
libldap-common                           2.6.10+dfsg-1ubuntu5 all
libldap2:amd64                           2.6.10+dfsg-1ubuntu5 amd64
liblerc4:amd64                           4.0.0+ds-5ubuntu2    amd64
liblinear4:amd64                         2.3.0+dfsg-5build2   amd64
libllvm21:amd64                          1:21.1.8-6ubuntu1    amd64
liblmdb0:amd64                           0.9.31-1build2       amd64
liblocale-gettext-perl                   1.07-8               amd64
liblqr-1-0:amd64                         0.4.2-2.2            amd64
liblsan0:amd64                           16-20260322-1ubuntu1 amd64
liblsof0                                 4.99.4+dfsg-2build2  amd64
libltdl7:amd64                           2.5.4-9              amd64
liblua5.4-0:amd64                        5.4.8-1build1        amd64
libluajit-5.1-2:amd64                    2.1.0+openresty20251030-1 amd64
libluajit-5.1-common                     2.1.0+openresty20251030-1 all
liblwp-mediatypes-perl                   6.04-2               all
liblwp-protocol-https-perl               6.14-1               all
liblz4-1:amd64                           1.10.0-8             amd64
liblzma5:amd64                           5.8.3-1              amd64
liblzo2-2:amd64                          2.10-3build2         amd64
libmagic-mgc                             1:5.46-5build2       amd64
libmagic1t64:amd64                       1:5.46-5build2       amd64
libmagickcore-7.q16-10:amd64             8:7.1.2.18+dfsg1-1   amd64
libmagickcore-7.q16-10-extra:amd64       8:7.1.2.18+dfsg1-1   amd64
libmagickwand-7.q16-10:amd64             8:7.1.2.18+dfsg1-1   amd64
